num_sectors,snr,num_repetitions,a_s,doa,rmse,std_dev
6,5,100000,0.1,135,25.28912140214263,20.629048456412804
6,5,100000,0.1,136,22.95858519303895,18.792151517662052
6,5,100000,0.1,137,20.390000009020213,16.674044973553144
6,5,100000,0.1,138,17.741340480439256,14.483223757283227
6,5,100000,0.1,139,15.246847056358588,12.35539171407346
6,5,100000,0.1,140,13.449244750187606,10.851127887077704
6,5,100000,0.1,141,11.404321141036261,9.048164505316755
6,5,100000,0.1,142,9.713337494613988,7.5657559949606785
6,5,100000,0.1,143,8.479440950150773,6.507947043128941
6,5,100000,0.1,144,7.3461912980336495,5.527290984944637
6,5,100000,0.1,145,6.451143068606029,4.768946527310872
6,5,100000,0.1,146,5.820711079150034,4.250732785570023
6,5,100000,0.1,147,5.25105539002002,3.7414168713550175
6,5,100000,0.1,148,4.9177994407539,3.488678225165951
6,5,100000,0.1,149,4.697741504790678,3.293961120759479
6,5,100000,0.1,150,4.573007567576438,3.1837641364212677
6,5,100000,0.1,151,4.530197215177316,3.1334706807801527
6,5,100000,0.1,152,4.559096059106159,3.1401671195133276
6,5,100000,0.1,153,4.639919540855123,3.1656329206783744
6,5,100000,0.1,154,4.795179463499354,3.2697145126025915
6,5,100000,0.1,155,4.965923085636193,3.37662126509792
6,5,100000,0.1,156,5.230425585230935,3.5615037963931724
6,5,100000,0.1,157,5.526151408083236,3.7687885304978592
6,5,100000,0.1,158,5.883302743505883,4.031966086031488
6,5,100000,0.1,159,6.345094933967829,4.37665190186873
6,5,100000,0.1,160,6.926730188864281,4.8376349214302605
6,5,100000,0.1,161,7.588227568578829,5.366399285417096
6,5,100000,0.1,162,8.389565339634185,6.000016178752905
6,5,100000,0.1,163,9.202477271522957,6.62544238740616
6,5,100000,0.1,164,10.333788003738116,7.4765079171400775
6,5,100000,0.1,165,11.403356472222777,8.225116014617306
6,5,100000,0.1,166,12.630691345282132,9.113668442406162
6,5,100000,0.1,167,13.728516597133758,9.828024182047878
6,5,100000,0.1,168,15.015382509326882,10.654557078476204
6,5,100000,0.1,169,15.980977568841869,11.203624525675675
6,5,100000,0.1,170,17.016019050731416,11.792618046767634
6,5,100000,0.1,171,17.995819656195604,12.339548184200856
6,5,100000,0.1,172,18.7365513189626,12.705694499931386
6,5,100000,0.1,173,19.58876465117624,13.204715398407753
6,5,100000,0.1,174,19.98567877864424,13.384080173756464
6,5,100000,0.1,175,20.504076800721737,13.688368332903144
6,5,100000,0.1,176,21.00390288953393,13.97740181127043
6,5,100000,0.1,177,21.192725025364926,14.145797198291492
6,5,100000,0.1,178,21.39487959304776,14.34084245658233
6,5,100000,0.1,179,21.56911487879064,14.498307232117485
6,5,100000,0.1,180,21.67677751260811,14.623111568093616
6,5,100000,0.1,181,21.517645840568143,14.462919973985164
6,5,100000,0.1,182,21.34464566318931,14.30109241122396
6,5,100000,0.1,183,21.200973417261572,14.1558120061331
6,5,100000,0.1,184,20.953165299988207,13.966602201878349
6,5,100000,0.1,185,20.636987769864618,13.787382714495516
6,5,100000,0.1,186,20.065108841288186,13.440662977490389
